input_data,num_vertices,avg_cycle_weight,min_cycle_weight,init_temperature,alpha,min_temperature,max_iter
data\pbm436.tsp,436,1513,1480,10,0.95,0.1,0.3
data\xql662.tsp,662,2645,2587,10,0.95,0.1,0.3
data\xqf131.tsp,131,653,615,50,0.9,0.1,0.1
data\xqg237.tsp,237,1270,1172,50,0.9,0.1,0.1
data\pma343.tsp,343,2033,1817,50,0.9,0.1,0.1
data\pka379.tsp,379,2334,2076,50,0.9,0.1,0.1
data\bcl380.tsp,380,2194,2036,50,0.9,0.1,0.1
data\pbl395.tsp,395,2048,1815,50,0.9,0.1,0.1
data\pbk411.tsp,411,2125,2025,50,0.9,0.1,0.1
data\pbn423.tsp,423,2152,1947,50,0.9,0.1,0.1
data\pbm436.tsp,436,2384,2214,50,0.9,0.1,0.1
data\xql662.tsp,662,4270,4050,50,0.9,0.1,0.1
data\xqf131.tsp,131,675,635,10,0.95,1,0.2
data\xqg237.tsp,237,1220,1178,10,0.95,1,0.2
data\pma343.tsp,343,1668,1588,10,0.95,1,0.2
data\pka379.tsp,379,1750,1699,10,0.95,1,0.2
data\bcl380.tsp,380,1898,1856,10,0.95,1,0.2
data\pbl395.tsp,395,1773,1667,10,0.95,1,0.2
data\pbk411.tsp,411,1834,1775,10,0.95,1,0.2
data\pbn423.tsp,423,1866,1801,10,0.95,1,0.2
data\pbm436.tsp,436,1941,1894,10,0.95,1,0.2
data\xql662.tsp,662,3267,3124,10,0.95,1,0.2
data\xqf131.tsp,131,589,577,50,0.95,0.01,0.2
data\xqg237.tsp,237,1078,1058,50,0.95,0.01,0.2
data\pma343.tsp,343,1408,1393,50,0.95,0.01,0.2
data\pka379.tsp,379,1380,1351,50,0.95,0.01,0.2
data\bcl380.tsp,380,1723,1687,50,0.95,0.01,0.2
data\pbl395.tsp,395,1378,1330,50,0.95,0.01,0.2
data\pbk411.tsp,411,1435,1403,50,0.95,0.01,0.2
data\pbn423.tsp,423,1461,1436,50,0.95,0.01,0.2
data\pbm436.tsp,436,1543,1516,50,0.95,0.01,0.2
data\xql662.tsp,662,2707,2681,50,0.95,0.01,0.2
data\xqf131.tsp,131,611,586,100,0.9,0.01,0.1
data\xqg237.tsp,237,1116,1094,100,0.9,0.01,0.1
data\pma343.tsp,343,1486,1461,100,0.9,0.01,0.1
data\pka379.tsp,379,1437,1398,100,0.9,0.01,0.1
data\bcl380.tsp,380,1824,1761,100,0.9,0.01,0.1
data\pbl395.tsp,395,1436,1409,100,0.9,0.01,0.1
data\pbk411.tsp,411,1496,1453,100,0.9,0.01,0.1
data\pbn423.tsp,423,1530,1500,100,0.9,0.01,0.1
data\pbm436.tsp,436,1595,1552,100,0.9,0.01,0.1
data\xql662.tsp,662,2806,2761,100,0.9,0.01,0.1
data\xqf131.tsp,131,573,566,10,0.99,0.1,0.2
data\xqg237.tsp,237,1040,1031,10,0.99,0.1,0.2
data\pma343.tsp,343,1380,1373,10,0.99,0.1,0.2
data\pka379.tsp,379,1345,1337,10,0.99,0.1,0.2
data\bcl380.tsp,380,1669,1645,10,0.99,0.1,0.2
data\pbl395.tsp,395,1316,1307,10,0.99,0.1,0.2
data\pbk411.tsp,411,1382,1367,10,0.99,0.1,0.2
data\pbn423.tsp,423,1400,1382,10,0.99,0.1,0.2
data\pbm436.tsp,436,1488,1474,10,0.99,0.1,0.2
data\xql662.tsp,662,2607,2571,10,0.99,0.1,0.2
data\xqf131.tsp,131,573,564,100,0.99,0.1,0.3
data\xqg237.tsp,237,1039,1023,100,0.99,0.1,0.3
data\pma343.tsp,343,1377,1372,100,0.99,0.1,0.3
data\pka379.tsp,379,1343,1338,100,0.99,0.1,0.3
data\bcl380.tsp,380,1662,1648,100,0.99,0.1,0.3
